"","1","2","3","4","5","6"
"cameron",0.000229073926972273,0.000245198406670971,0,0,0,0
"cellanjones",0.000229073926972273,0.000245198406670971,0,0,0,0
"centre",0.000229073926972273,0.000245198406670971,0,0,0,0
"ceo",3.80162459652831e-05,4.06922038728023e-05,0.00015419486147195,0.00141163366279317,0.000378802179665373,0
"challenger",0.000229073926972273,0.000245198406670971,0,0,0,0
"chomsky",0.000229073926972273,0.000245198406670971,0,0,0,0
"clive",0.000229073926972273,0.000245198406670971,0,0,0,0
"club",0.000144529556294262,0.00015470297029703,0,0,0.000110778774786751,0
"cnn",8.45443706780107e-05,9.04954363739412e-05,4.89877314061767e-05,0,6.48014291260835e-05,0
"coleman",0.000229073926972273,0.000245198406670971,0,0,0,0
"company",8.45443706780107e-05,0,0.000538865045467944,0.000104644454511835,0.00174963858640426,0
"concretions",0.000229073926972273,0.000245198406670971,0,0,0,0
"conference",0.000229073926972273,0.000245198406670971,0,0,0,0
"cser",0.00114536963486136,0.00122599203335485,0,0,0,0
"dam",0.000229073926972273,0.000245198406670971,0,0,0,0
"daniel",0.000229073926972273,0.000245198406670971,0,0,0,0
"demis",0.000229073926972273,0.000245198406670971,0,0,0,0
"dennett",0.000229073926972273,0.000245198406670971,0,0,0,0
"diaz",0.000229073926972273,0.000245198406670971,0,0,0,0
"dont",0.000229073926972273,0.000245198406670971,0,0,0,0
"downey",0.000229073926972273,0.000245198406670971,0,0,0,0
"dragon",0.000458147853944546,0.000490396813341942,0,0,0,0
"drian",0.000229073926972273,0.000245198406670971,0,0,0,0
"ebay",0.000144529556294262,0.00015470297029703,0,0.000178890876565295,0,0
"eddit",0.000229073926972273,0.000245198406670971,0,0,0,0
"ederal",0.000229073926972273,0.000245198406670971,0,0,0,0
"edro",0.000229073926972273,0.000245198406670971,0,0,0,0
"eff",0.000687221780916819,0.000735595220012913,0,0,0,0
"eggs",0.000229073926972273,0.000245198406670971,0,0,0,0
"elon",7.60324919305662e-05,4.06922038728023e-05,0.000440556747062715,0.00047054455426439,0.000961574763765946,0
"elta",0.000229073926972273,0.000245198406670971,0,0,0,0
"enault",0.000229073926972273,0.000245198406670971,0,0,0,0
"enckenberg",0.000229073926972273,0.000245198406670971,0,0,0,0
"enhancement",0.000229073926972273,0.000245198406670971,0,0,0,0
"ennecott",0.000229073926972273,0.000245198406670971,0,0,0,0
"enus",0.000229073926972273,0.000245198406670971,0,0,0,0
"ergey",0.000144529556294262,0.00015470297029703,0,0.000178890876565295,0,0
"eric",0.000144529556294262,0.00015470297029703,0,0,0.000221557549573502,0
"ernon",0.000229073926972273,0.000245198406670971,0,0,0,0
"esla",0.000228097475791699,0.000244153223236814,0.000726918632653479,0.000141163366279317,8.7415887615086e-05,0
"eter",0.000144529556294262,0.00015470297029703,0.000167490159953103,0,0,0
